Pos,No.,Rider,Manufacturer,Laps,Time/Retired,Grid,Points
Ret,44,Karel Abraham,Aprilia,16,Retirement,33,
Ret,13,Dino Lombardi,Aprilia,13,Retirement,41,
Ret,37,Joey Litjens,Honda,11,Retirement,38,
Ret,22,Pablo Nieto,Aprilia,9,Retirement,8,
Ret,83,Clément Dunikowski,Honda,7,Retirement,40,
Ret,53,Simone Grotzkyj,Aprilia,6,Accident,35,
Ret,72,Eric Hübsch,Aprilia,5,Retirement,34,
Ret,20,Roberto Tamburini,Aprilia,4,Accident,24,
Ret,10,Ángel Rodríguez,Aprilia,1,Retirement,17,
DNS,97,Joshua Sommer,Aprilia,,,,
