Airline,Destination(s),Aircraft Scheduled,Service Date(s),Comments
Delta Air Lines,"Atlanta, Cincinnati, Dayton, Detroit, Fort Wayne","Convair 440, Boeing 727-200, Boeing 737-300, MD-88, DC-9-30",,
Eastern Airlines,Columbus,"Constellation L-1049G, Locheed Electra, Boeing 727-100, Boeing 727-200, DC-9-30, DC-9-50",,
Frontier Airlines mk 1,"Denver, Detroit","Boeing 737-200, MD-80",,
Liberty Airlines,Chicago Midway & O'Hare,Convair 440,02/1982-5/16/1983,"Plans for CMH, CLE, STL, BUF, & EWR scrapped. Also flew CAK-ORD"
Midway Connection,Chicago Midway,"EMB-120, Dornier 228",,
Mesaba Aviation,"Detroit, Youngstown","Dash 8-200, Fokker 27, Metro III, Saab 340",,Original and dba Northwest Airlink
Piedmont Airlines,Dayton,"Boeing 727-200, Boeing 737-200",,Merged with USAir
TransMeridian Airlines,"Las Vegas, Sanford/Orlando","Boeing 757-200, Boeing 727-200, MD-80",,Filed for Bankruptcy
Trans Midwest Airlines,"Columbus, Dayton, Detroit Metro, Lima",Piper Navajo,1983-1985,
Trans World Airlines,St. Louis,"Boeing 727-100, DC-9, Martin 404",,
United Airlines,"Chicago O'Hare, Cleveland, Denver, Fort Wayne, Peoria, Saginaw","DC-8 series 21, Boeing 727-122, 727-222, Boeing 737-222,Caravelle, Boeing 720, Convair 340, DC-6B",,
US Airways (USAir/Allegheny),Pittsburgh,"Convair 580, Boeing 727-200, MD-80, Boeing 737-200/300/400, DC-9-30, BAe 1-11, Fokker 100, Fokker 28",,
US Airways Express,"Dayton, Indianapolis, Pittsburgh","Metro III, Jetstream 31, Saab 340, Dash 8-100/200, ERJ 145, Dornier 328",,"Operated by Trans States Airlines, Jetstream Int'l / PSA Airlines, Allegheny Airlines, Chautauqua Airlines, Shuttle America"
Vision Airlines,Myrtle Beach,Boeing 737-400,6/1 - 6/29/2012,
