Camp,Div SecDivision,AdminDistrict,9 Feb,11 Feb,16 Feb,25 Feb,27 Feb,2 Mar,4 Mar,6 Mar,11 Mar,13 Mar,24 Mar,30 Mar,31 Mar,Unused_1
Vavuniya Muslim Maha Vidyalayam,Vavuniya,VAV,,"1,333","1,767","1,767",,,,,,,"1,360","1,394","1,394",
Vavuniya Tamil Maha Vidyalayam (Primary),Vavuniya,VAV,,,"1,916","1,929","1,390","1,390",,"1,153","1,153","1,153","1,196","1,168","1,168",
Vavuniya Tamil Maha Vidyalayam (Senior),Vavuniya,VAV,,"1,200","4,390","3,838","4,085","4,085","5,475","3,540","3,390","3,390","3,963","3,969","3,969",
Kaithady Ayurvedic University Hostel,Thenmarachchi,JAF,,,,,,,,,647,647,"1,073","1,073","1,083",
Kaithady Hindu Children Home,Thenmarachchi,JAF,,,,,,,,184,184,184,667,667,668,
Kaithady Palmyra Research Institute 1,Thenmarachchi,JAF,,,,,,,,,,,,,357,
Kodikamam Government Tamil Mixed School,Thenmarachchi,JAF,,,411,424,503,503,655,711,706,706,"1,006","1,006","1,006",
Kopay Teacher Training College,Valikamam East,JAF,,,444,438,464,464,463,463,463,463,464,464,464,
Murusivil Roman Catholic Tamil Mixed School,Thenmarachchi,JAF,,,"1,139","1,140","1,139","1,139","1,140","1,140","1,313","1,313","1,691","1,691","1,786",
Thirunagar Old Court House,Jaffna,JAF,,,73,74,49,49,108,108,113,113,114,114,140,
Illupaikkulam,Mannar Town,MAN,,,52,52,52,52,52,52,52,52,52,52,52,
Kalimoddai,Nanaddan,MAN,,,445,445,445,445,445,454,454,454,454,454,454,
