Date,Opponent#,Rank#,Site,Result,Attendance,Record
2/13/1986,@ Northwestern,#NR,"Welsh-Ryan Arena • Evanston, IL",W 75-52,"8,117",16-7 (7-5)
2/15/1986,@ Wisconsin,#NR,"Wisconsin Field House • Madison, WI",W 82-74,"10,605",17-7 (8-5)
2/20/1986,vs. #15 Indiana,#NR,"Assembly Hall • Champaign, IL",L 60-61,"16,349",17-8 (8-6)
2/22/1986,vs. Ohio State,#NR,"Assembly Hall • Champaign, IL",W 66-62,"16,376",18-8 (8-7)
2/27/1986,@ #20 Purdue,#NR,"Mackey Arena • West Lafayette, IN",W 81-72,"14,123",19-8 (9-7)
3/1/1986*,@ #4 Georgia Tech,#12,"Alexander Memorial Coliseum • Atlanta, GA",W 59-57,"15,148",20-8
3/6/1986,@ Iowa,#19,"Carver–Hawkeye Arena • Iowa City, IA",L 53-57,"15,450",20-9 (10-7)
3/8/1986,@ Minnesota,#19,"Williams Arena • Minneapolis, MN",W 73-64,"13,608",21-9 (11-7)
3/14/1986*,vs. Fairfield,#19,"Charlotte Coliseum • Charlotte, NC(NCAA Tournament)",W 75-51,-,22-9
3/16/1986*,vs. Alabama,#19,"Charlotte Coliseum • Charlotte, NC(NCAA Tournament)",L 56-58,"11,325",22-10
