Entered,Weeks intop 10,Single,Artist,Peak,Peakreached,Weeksat peak
17 July 1994,8,"\Regulate\""""",Warren G and Nate Dogg,5,24 July 1994,1
17 July 1994,2,"\Everything is Alright (Uptight)\""""",C.J. Lewis,10,17 July 1994,2
24 July 1994,1,"\Run to the Sun\""""",Erasure,6,24 July 1994,1
24 July 1994,7,"\Searching\""""",China Black,4,7 August 1994,2
31 July 1994,4,"\Let's Get Ready to Rhumble\""""",PJ & Duncan,1,31 March 2013,1
31 July 1994,2,"\No More (I Can't Stand It)\""""",Maxx,8,7 August 1994,1
7 August 1994,6,"\Compliments on Your Kiss\""""",Red Dragon with Brian and Tony Gold,2,28 August 1994,1
7 August 1994,4,"\What's Up?\""""",DJ Miko,6,14 August 1994,1
14 August 1994,6,"\7 Seconds\""""",Youssou N'Dour featuring Neneh Cherry,3,4 September 1994,1
14 August 1994,2,"\Live Forever\""""",Oasis,10,14 August 1994,2
21 August 1994,1,"\Eighteen Strings\""""",Tinman,9,21 August 1994,1
28 August 1994,5,"\I'll Make Love to You\""""",Boyz II Men,5,4 September 1994,1
28 August 1994,1,"\Parklife\""""",Blur,10,28 August 1994,1
