Launch Date,STS Number,Payload Name,Payload Classification,ExperimentName,Payload Carrier Hardware
12/04/98,88,G-093R,GAS,G-093R,AdapterBeam
12/04/98,88,SEM-07,SEM,SEM-07,AdapterBeam
01/22/98,89,G-093G-141G-145G-432,GAS,G-093G-141G-145G-432,Adapter Beam
04/17/98,90,SVF-01,CAP,"Shuttle Vibration Forces (SVF),NASA JPL",Adapter Beam
04/17/98,90,G-197G-744G-772,GAS,G-197G-744G-772,AdapterBeam
06/02/98,91,G-090G-648G-743G-765,GAS,G-090G-648G-743G-765,Adapter Beam
06/02/98,91,SEM-03SEM-05,SEM,SEM-03SEM-05,AdapterBeam
07/01/97,94,CRYOFD,HH,Cryogenic Flexible Diode (CRYOFD)experiment payload,Adapter Beam
10/29/98,95,CRYOTSU,HH,"Cryogenic Thermal Storage Unit (CRYOTSU), NASA GSFC",Adapter Beam
10/29/98,95,IEH-3,HH,"UltravioletSpectrograph Telescope for Astronomical Research (UVSTAR), U ofAZ/ESASolar Extreme Ultraviolet Hitchhiker (SEH), USCSTAR-LITE, U of AZPetite Amateur Navy Satellite (PANSAT), USAF Space Test ProgramSolar Constant Experiment (SOLCON-02), Royal Meteorological Institute of Belgium",HH Bridge
10/29/98,95,IEH-3,GAS,G-238G-764,HH Bridge
10/29/98,95,SEM-04,SEM,SEM-04,SEM-attachedto SPARTAN 201-05 Bridge
10/29/98,95,G-467G-779,GAS,G-467G-779,Adapter Beam
