#,Wrestlers,Reign,Date,Days held,Location,Event,Notes,Irrelevant_1,Extra_Data_2,Dummy_Col_3
10,The Public Enemy(Johnny Grunge and Rocco Rock),1,"March 6, 1994",174,"Philadelphia, PA",Hardcore TV #46,Aired 3-8-94 on TV,XXR4TQgT,538,vbIzgnB
11,Cactus Jack and Mikey Whipwreck,1,"August 27, 1994",70,"Philadelphia, PA",Hardcore TV #72,"Whipwreck was a substitute for Terry Funk, who left the company. Aired 9-13-94 on TV",6aG0vY9e,213,ZQGBLiQ
12,The Public Enemy,2,"November 5, 1994",91,"Philadelphia, PA",November to Remember (1994),,lFZMKH,62,pcwrhKxy
13,Sabu and The Tazmaniac (2),1,"February 4, 1995",21,"Philadelphia, PA",Double Tables,,rNFHLsCp,288,tRNEfWO
14,Chris Benoit and Dean Malenko,1,"February 25, 1995",42,"Philadelphia, PA",Return of the Funker,,pZs2bGCP,532,AutZLaf
15,The Public Enemy,3,"April 8, 1995",83,"Philadelphia, PA",Three Way Dance,Also def. Rick Steiner (who was a substitute for Sabu) and Taz in 3 way dance,6WJXBO,890,dXkGzagL
16,Raven and Stevie Richards,1,"June 30, 1995",78,"Jim Thorpe, PA",Hardcore TV #115,Aired 7-4-95 on TV,5bZT9EEb,479,tUldgkXf
17,The Pitbulls(Pitbull #1 and Pitbull #2),1,"September 16, 1995",21,"Philadelphia, PA",Gangsta's Paradise,,Styl2i,869,CglAh
18,Raven and Stevie Richards,2,"October 7, 1995",0,"Philadelphia, PA",Hardcore TV #131,Aired 10-24-95 on TV,mogjIJq,202,dscvqsGd
19,The Public Enemy,4,"October 7, 1995",21,"Philadelphia, PA",Hardcore TV #131,Aired 10-24-95 on TV,7BDisSZ,467,tDZyN
20,2 Cold Scorpio and The Sandman,1,"October 28, 1995",62,"Philadelphia, PA",Hardcore TV #133,"Scorpio defeats Rocco Rock in a singles bout and wins the tag team title, choosing Sandman as his partner. Aired 11-7-95 on TV",t4bXTdgQ,31,jpSeSW
