Year,League,Record,Finish,Manager,Playoffs,Notes
1975,California League,86-54,1st,Harry Warner,League Champs,
1976,California League,75-62,3rd,Johnny Goryl,League Champs,
1977,California League,59-81,5th,Glenn Ezell,,
1978,California League,62-78,5th,Eddie Watt,,
1979,California League,74-67,3rd,Eddie Watt,,
1980,California League,75-66,2nd (t),Jack Maloof,,
1981,California League,81-58,2nd,Jack Maloof,Lost in 1st round,
1988,California League,39-103,10th,Nate Oliver,,
1989,California League,68-74,6th,Eli Grba,,
1990,California League,71-68,6th,Mike Brown,,
1991,California League,59-77,7th,Mal Fichman,,
1992,California League,65-71,8th,Gary Jones,,
