Year,Party Affiliation,Winner,Number of Votes,Party Affiliation,Loser,Number of Votes,Percentage of Votes
1920,Republican,William F. Kopp,"38,100",Democrat,E.W. McManus,"20,977",64% - 36%
1922,Republican,William F. Kopp,"26,651",Democrat,John M. Lindley,"14,056",65% - 34%
1924,Republican,William F. Kopp,"42,711",Democrat,James M. Bell,"17,110",71% - 29%
1926,Republican,William F. Kopp,"27,358",Democrat,James M. Bell,"11,408",71% - 29%
1928,Republican,William F. Kopp,"45,806",N/A,No Opponent,N/A,100% - 0%
1930,Republican,William F. Kopp,"27,053",Democrat,Max A. Conrad,"15,538",63% - 36%
1932,Democrat,Edward C. Eicher,"55,378",Republican,William F. Kopp,"46,738",54% - 46%
1934,Democrat,Edward C. Eicher,"48,544",Republican,E. R. Hicklin,"39,047",55% - 44%
1936,Democrat,Edward C. Eicher,"55,721",Republican,John N. Calhoun,"53,474",51% - 49%
1938,Republican,Thomas E. Martin,"46,636",Democrat,James P. Gaffney,"33,765",58% - 42%
1940,Republican,Thomas E. Martin,"70,120",Democrat,Mrs. Zoe S. Nabers,"46,040",60% - 40%
1942,Republican,Thomas E. Martin,"55,139",Democrat,Vern W. Nall,"32,893",61% - 37%
