Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1,Málaga CF,42,79,22,13,7,72,47,+25
2,Atlético de Madrid B 1,42,74,21,11,10,73,51,+22
3,CD Numancia,42,73,21,10,11,68,40,+28
4,Sevilla FC,42,71,20,11,11,66,50,+16
5,Rayo Vallecano,42,71,19,14,9,64,49,+15
6,UD Las Palmas,42,68,17,17,8,57,38,+19
7,CD Toledo,42,65,18,11,13,54,49,+5
8,SD Compostela,42,61,16,13,13,60,53,+7
9,Sporting de Gijón,42,59,16,11,15,47,47,0
10,CP Mérida,42,59,15,14,13,48,41,+7
11,UE Lleida,42,59,15,14,13,52,50,+2
