Date,Venue,Opponent,Result,Tournament,Scored,Dummy_Col_1
10 February 2008,Craven Park,St. Helens,24–22,Super League XIII,1,vkWXVJV
24 March 2008,JJB Stadium,Wigan Warriors,18–12,Super League XIII,1,tlcrcH
13 April 2008,Craven Park,Bradford Bulls,20–18,Super League XIII,1,yxiary
21 June 2008,Craven Park,Wakefield Trinity Wildcats,18–26,Super League XIII,1,ZZfwXt
8 March 2009,Craven Park,Wakefield Trinity Wildcats,31–18,Super League XIV,1,AjRvEtJZ
15 March 2009,Craven Park,Crusaders,48–18,Super League XIV,3,XwUWTRY
3 May 2009,Murrayfield Stadium,Warrington Wolves,28–36,Super League XIV,1,OdaQM
20 June 2009,Brewery Field,Crusaders,18–32,Super League XIV,2,xFlWO
21 August 2009,The Willows,Salford City Reds,10–14,Super League XIV,1,dCZGX
5 September 2009,Craven Park,Warrington Wolves,40–16,Super League XIV,3,azUbir
12 September 2009,Belle Vue,Wakefield Trinity Wildcats,24–10,Super League XIV,1,uodYEDs
7 February 2010,Craven Park,Salford City Reds,30–12,Super League XV,1,WgUPjJIc
