No.,Title (Latin),Title (English translation),Subject,Date
1.,Qui Pluribus,,On Faith and Religion,9 November 1846
2.,Praedecessores Nostros,,On Aid for Ireland,25 March 1847
3.,Ubi Primum,,On Discipline for Religious,17 June 1847
4.,Ubi Primum,,On Immaculate Conception,2 February 1849
5.,Nostis Et Nobiscum,,On the Church in the Papal States,8 December 1849
6.,Exultavit Cor Nostrum,,On the Effects of the Jubilee,21 November 1851
7.,Nemo Certe Ignorat,,On Discipline for Clergy,25 March 1852
8.,Probe Noscitis Venerabiles,,On the Discipline for Clergy,17 May 1852
9.,Inter Multiplices,,Pleading for Unity of Spirit,21 March 1853
10.,Neminem Vestrum,,On the Persecution of Armenians,2 February 1854
