Transmitter,kW,BBCA,BBCB,D3&4,SDN,ARQA,ARQB,Pol.,A.G.,Unused_1
Allenheads,0.002,27,21,24,N/A,N/A,N/A,V,A K,
Alston,0.08,39,45,42,N/A,N/A,N/A,V,B E K,
Bellingham,0.01,27,21,24,N/A,N/A,N/A,V,A K,
Blaydon Burn,0.002,44,47,41,N/A,N/A,N/A,V,B E K,
Byrness,0.01,27,21,24,N/A,N/A,N/A,V,A K,
Catton Beacon,0.028,40,46,43,N/A,N/A,N/A,V,B E K,
Durham,0.003,41,47,44,N/A,N/A,N/A,V,B E K,
Esh,0.0024,39,45,42,N/A,N/A,N/A,V,B E K,
Felling,0.002,40,43,46,N/A,N/A,N/A,V,B E K,
Fenham,0.4,27,21+,24,25,22+,28,V,A K,
Haltwhistle,0.4,59,55,62-,N/A,N/A,N/A,V,C/D E,
Haydon Bridge,0.02,44,41,47,N/A,N/A,N/A,V,B E K,
Hedleyhope,0.004,41,47,44,N/A,N/A,N/A,V,B E K,
