Map or catalog,Creator,Time created,Contets,links,Extra_Data_1
Japanese Star Map 天象一覧図 in Kanji,桜田虎門,1824 AD 文政７年,Printed map showing Chinese names of stars and constellations,,372
Korean Star Map 天象列次分野之図 in Kanji,,c. 19th century,Printed map showing Chinese names of stars and constellations,[18],923
Korean Star Map,,"c. 19th century, late Choson Period",-,,304
Korean Star maps: Star Map South to the Ecliptic 黃道南恒星圖 and Star Map South to the Ecliptic 黃道北恒星圖,,c. 19th century,Perhaps influenced by Adam Schall von Bell Tang Ruo wang 湯若望 (1591–1666) and P. Ignatius Koegler 戴進賢 (1680–1748),,881
Korean Complete map of the celestial sphere (渾天全圖),,c. 19th century,-,,684
Korean Book of Stars 經星,,c. 19th century,Several star maps,,731
"Japanese Edo period Star Chart 方円星図,方圓星図 and 増補分度星図方図",石坂常堅,1826b文政9年,-,-,589
Japanese Star Chart,伊能忠誨,c. 19th century,-,-,854
Japanese Edo period Star Chart 天球図説,古筆源了材,1835 天保6年,-,-,136
Qing Dynasty Star Catalog (儀象考成續編)星表,,1844,"Appendix to Yi Xian Kao Cheng, listed 3240 stars (added 163, removed 6)",,856
Stars map (恒星赤道経緯度図)stored in Japan,,1844 道光24年 or 1848,-,-,27
Japanese Edo period Star Chart 経緯簡儀用法,藤岡有貞,1845 弘化２年,-,-,349
Japanese Edo period Star Chart 分野星図,"高塚福昌, 阿部比輔, 上条景弘",1849 嘉永2年,-,-,74
