Edition,Year,Men's winner,Time (m:s),Women's winner,Time (m:s)
13th,2002,Simon Kasimili (KEN),47:27,Sonia O'Sullivan (IRL),51:00
14th,2003,John Yuda (TAN),46:35,Sonia O'Sullivan (IRL),53:26
15th,2004,Hendrick Ramaala (RSA),47:14,Benita Johnson (AUS),52:32
16th,2005,John Yuda (TAN),46:45,Derartu Tulu (ETH),51:27
17th,2006,Simon Arusei (KEN),47:17,Jo Pavey (GBR),52:46
18th,2007,Luke Kibet (KEN),47:31,Rose Cheruiyot (KEN),53:44
19th,2008,Bernard Kipyego (KEN),46:42,Paula Radcliffe (GBR),51:11
20th,2009,Mo Farah (GBR),46:25,Inês Monteiro (POR),52:32
21st,2010,Joseph Ebuya (KEN),45:15,Grace Momanyi (KEN),52:03
22nd,2011,Leonard Komon (KEN),46:18,Aselefech Mergia (ETH),52:55
23rd,2012,Stephen Mokoka (RSA),46:40,Jo Pavey (GRB),53:01
24th,2013,Emmanuel Bett (KEN),48:03,Florence Kiplagat (KEN),53:53
