Rank,Name,Nation,CP,FP,Points,Placings,Dummy_Col_1,Dummy_Col_2,Filler_3
12,Patricia Ann Dodd,United Kingdom,7,16,,100,ZZOJlUiE,OYEQngs,lHYEPd
13,Kazumi Yamashita,Japan,12,11,,116,BUMnBoyY,Zdefl,uMTFBHfB
14,Ludmila Bezáková,Czechoslovakia,11,15,,122,qPuuxO,sQovsAvN,kFtCR
15,Jean Scott,United Kingdom,15,10,,132,dfqSNl,mxENrBPX,iUbwQMi
16,Diane Hall,Canada,19,12,,132,JOkqbd,rKvXeG,JDVhHOMv
17,Anita Johansson,Sweden,16,18,,145,uNQcDHdF,OeEzvk,erqxYUXf
18,Judith Bayer,West Germany,20,17,,159,hfUGObU,nbaLEoNc,lLZSDb
19,Ruth Hutchinson,Canada,17,20,,168,CuRavdH,efcTyq,BZNKKOs
20,Sonja Balun,Austria,22,19,,177,wWBDkAXf,XPfnoi,YLKJewE
21,Joëlle Cartaux,France,18,22,,188,ubWSeu,hESyJX,WLDeaxY
22,Cinzia Frosio,Italy,21,21,,197,tisWu,tqJqTkO,ikiFB
