Year,Competition,Venue,Position,Event,Notes,Noise_Field_1,Dummy_Col_2
1996,World Junior Championships,"Sydney, Australia",8th,200 m,23.89,GArWeeW,CkCcXI
1996,Olympic Games,"Atlanta, United States",11th (sf),4x100 m relay,44.21,KYzKsdVs,sbQjA
1997,European Junior Championships,"Ljubljana, Slovenia",1st,100 m,11.39,xsJzSKj,ppNSd
1997,European Junior Championships,"Ljubljana, Slovenia",3rd,200 m,23.43,PfqpMVuw,AiEDAe
1997,World Championships,"Athens, Greece",36th (h),100 m,11.59,YlSNAEOd,KmwkcNb
1997,World Championships,"Athens, Greece",13th (h),4x100 m relay,44.08,teTTA,qqCwkV
1998,World Junior Championships,"Annecy, France",8th (sf),100 m,11.75,pjBJyQ,ssNvR
1998,World Junior Championships,"Annecy, France",4th,200 m,23.68,mKcgon,NdGTpyiV
1998,European Championships,"Budapest, Hungary",28th (h),100 m,11.94,LAaVdJkZ,pmLDA
1998,European Championships,"Budapest, Hungary",27th (h),200 m,24.10,ZLCuOxV,Xnyxuj
