Year Built,Works Number,Wheel Arr.,Gauge,Original Owner,Name,Current Location,Notes
1882,283,0-4-0ST,1 ft 10 3⁄4 in (578 mm),Penrhyn Quarry,Charles,Penrhyn Castle Railway Museum,
1883,316,0-4-0ST,2 ft (?),Penrhyn Quarry,Gwynedd,Bressingham Steam Museum,Penrhyn Port Class
1883,317,0-4-0ST,1 ft 11 1⁄2 in (597 mm),Penrhyn Quarry,Lilian,Launceston Steam Railway,Penrhyn Port Class
1885,364,0-4-0ST,22.75,Penrhyn Quarry,Winifred,Bala Lake Railway,Penrhyn Port Class
1886,409,0-4-0ST,1 ft 11 1⁄2 in (597 mm),Dinorwic Quarry,Velinheli,Launceston Steam Railway,
1889,493,0-4-0ST,1 ft 11 3⁄4 in (603 mm),Dinorwic Quarry,Elidir,Llanberis Lake Railway,Previously named “Red Damsel”
1890,518,2-2-0T,(1000mm),S.V.T. 8,Tortosa-La Cava1,"Tortosa (catalonia, Spain)",
1891,541,0-4-0ST,1 ft 10 3⁄4 in (578 mm),Dinorwic Quarry,Rough Pup,"Narrow Gauge Railway Museum, Tywyn",
1891,542,0-4-0ST,2 ft (610 mm),Dinorwic Quarry,Cloister,Purbeck Mineral & Mining Museum,"Owned by Hampshire Narrow Gauge Railway Trust, previously at Kew Bridge Steam Museum and Amberley"
1891,554,0-4-0ST,1 ft 11 1⁄2 in (597 mm),"Cilgwyn quarry, then Penrhyn Quarry Railway",Lilla,Ffestiniog Railway,
1893,589,2-4-0ST+T,1 ft 11 1⁄2 in (597 mm),Penrhyn Quarry Railway,Blanche,Ffestiniog Railway,"Built as 0-4-0ST, converted to 2-4-0ST+T by FR."
