Edition,Year,Men's winner,Time (h:m:s),Women's winner,Time (h:m:s),Extra_Data_1,Filler_2
1st,1983,Tommy Persson (SWE),2:24:15,—,—,810,sgfQBx
2nd,1984,Steven Marwa (TAN),2:33:59,—,—,569,lngWvtw
3rd,1985,Savio d'Souza (IND),2:35:11,Asha Agarwal (IND),1:24:10,914,kQqPvwl
4th,1986,Savio d'Souza (IND),2:31:28,Karolina Szabó (HUN),1:17:09,176,GEEKSkn
5th,1987,Francois Blommaerts (BEL),2:29:40,Suman Rawat (IND),1:21:54,53,wHQetP
6th,1989,Yeshwant Singh Rawat (IND),2:31:47,Sunita Godhara (IND),2:58:39,284,kSOdPkO
7th,1990,Shivkumar Yadav (IND),2:27:56,Nanda Jadhav (IND),1:17:42,677,vfxaW
8th,1991,Vithana Samarasinghe (SRI),2:23:46,Nanda Jadhav (IND),2:57:34,420,vMjpQP
9th,1992,Shivkumar Yadav (IND),2:26:34,Suman Mehta (IND),2:51:01,141,UHsvd
10th,1993,Robert Nolan (AUS),2:23:23,Vally Sathyabhama (IND),2:47:46,616,aNoAdWi
11th,1994,Joshua Kipkemboi (KEN),2:24:35,Midde Hamrin (SWE),1:17:19,44,gydxgM
12th,1996,Joseph Kahugu (KEN),2:13:00,Lukose Leelamma (IND),?,960,tJNCMZJ
13th,1997 (Jan),Abhay Singh (IND),2:23:08,Camilla Benjaminsson (SWE),1:20:00,412,YsZXWPe
14th,1997 (Dec),My Tahar Echchadli (MAR),2:25:36,Zahra Akrachi (MAR),1:16:42,978,CZgztC
