Month,Year,Player,County,Club,Position
August,2009,Henry Shefflin,Kilkenny,Ballyhale Shamrocks,14
September,2009,Tommy Walsh,Kilkenny,Tullaroan,5
April,2010,Ger Farragher,Galway,Castlegar,8
May,2010,Ger Farragher,Galway,Castlegar,8
June,2010,Damien Hayes,Galway,Portumna,14
July,2010,Michael Walsh,Waterford,Stradbally,6
September,2010,Lar Corbett,Tipperary,Thurles Sarsfield's,11
May,2011,Conal Keaney,Dublin,Ballyboden St. Enda's,12
June,2011,Pádraic Maher,Tipperary,Thurles Sarsfield's,6
July,2011,Lar Corbett,Tipperary,Thurles Sarsfield's,12
August,2011,Michael Fennelly,Kilkenny,Ballyhale Shamrocks,8
