,Player,Nationality,Drafted by,Year,Round,Overall
C,Bo Svanberg,Sweden,Detroit Red Wings,1985,11th,218th
W,Daniel Rydmark,Sweden,Los Angeles Kings,1989,6th,123rd
D,Mattias Olsson,Sweden,Los Angeles Kings,1991,10th,218th
C,Mathias Johansson,Sweden,Calgary Flames,1992,3rd,54th
RW,Jonas Höglund,Sweden,Calgary Flames,1992,10th,222nd
D,Anders Myrvold,Norway,Quebec Nordiques,1993,5th,127th
D,Henrik Rehnberg,Sweden,New Jersey Devils,1995,4th,96th
LW,Jan Laabraten,Sweden,Calgary Flames,1995,4th,98th
RW,Kristian Huselius,Sweden,Florida Panthers,1997,2nd,47th
D,Jonas Elofsson,Sweden,Edmonton Oilers,1997,4th,94th
LW,Magnus Arvedson,Sweden,Ottawa Senators,1997,5th,119th
