No.,Score,Player,Team,Balls,Inns.,Opposing team,Date,Result
45,100*,Lawrence Rowe (2/3),West Indies,NR,3,New Zealand,16 February 1972,Drawn
46,101,Mark Burgess,New Zealand,NR,4,West Indies,16 February 1972,Drawn
47,125,Maurice Foster,West Indies,NR,2,Australia,16 February 1973,Drawn
48,142,Keith Stackpole,Australia,NR,3,West Indies,16 February 1973,Drawn
49,120,Lawrence Rowe (3/3),West Indies,258,2,England,16 February 1974,Drawn
50,262*,Dennis Amiss,England,563,3,West Indies,16 February 1974,Drawn
51,100,Gordon Greenidge (1/2),West Indies,NR,1,Pakistan,15 April 1977,Won
52,135,Asif Iqbal,Pakistan,NR,4,West Indies,15 April 1977,Lost
53,122,Peter Toohey,Australia,NR,1,West Indies,28 April 1978,Drawn
54,115,Larry Gomes,West Indies,NR,2,Australia,28 April 1978,Drawn
55,126,Alvin Kallicharran,West Indies,NR,4,Australia,28 April 1978,Drawn
