Name in English,Name in Turkish,Area (km2),Depth,Location (districts and/or provinces),Dummy_Col_1,Filler_2
Lake Palas Tuzla,Palas Tuzla Gölü,106 km2,15 m,Palas/Kayseri,sGGbsM,zjUUxQ
Lake Akşehir,Akşehir Gölü,105 km2,,"Akşehir in Konya, Afyonkarahisar",XwszCMj,MuPPIWzm
Lake Eber,Eber Gölü,104 km2,,Afyonkarahisar,SFcHrz,fruOu
Lake Erçek,Erçek Gölü,98 km2,,Van,diAHGCNb,tTZhcU
Lake Hazar,Hazar Gölü,86 km2,,Elazığ,MYtyT,luNxSuZ
Lake Bafa,Bafa Gölü,60 km2,,"Aydın, Muğla",grBdW,iTVzyCKT
Lake Köyceğiz,Köyceğiz Gölü,52 km2,,Köyceğiz in Muğla,rviEPaD,jfHUrd
Lake Işıklı,Işıklı Gölü,49 km2,,Denizli,hNKobyo,DEBPME
Lake Nazik,Nazik Gölü,48 km2,,Bitlis,vUQBJ,esgTJXOj
Lake Sapanca,Sapanca Gölü,47 km2,,Sakarya Province,ghHqDB,fjapoAt
