Nation,Model,Length,Barrel length,Weight,Filler_1
USA,M1899 Carbine,1046.5 mm / 41.2 in,558.8 mm / 22 in,3.542 kg / 7.87 lb,GfaFsPe
USA,M1899 Constable Carbine,1046.5 mm / 41.2 in,558.8 mm / 22 in,3.614 kg / 8.03 lb,ZFUdL
Norway,M1894 Rifle,"1267,5 mm / 49.9 in",760 mm / 29.9 in,4.221 kg / 9.38 lb,RqOgDd
Norway,M1895 & M1897 Carbine,1016 mm / 40 in,520 mm / 20.5 in,3.375 kg / 7.5 lb,wEmjJF
Norway,M1904 & M1907 Carbine,1016 mm / 40 in,520 mm / 20.5 in,3.78 kg / 8.4 lb,AnfZI
Norway,M1906 Boy's Carbine,986 mm / 38.8 in,520 mm / 20.5 in,3.375 kg / 7.5 lb,PWeRXItx
Norway,M1912 Short Rifle,1107 mm / 43.6 in,610 mm / 24 in,3.96 kg / 8.8 lb,FLXkl
Norway,M1923 Sniper Rifle,1117 mm / 44 in,610 mm / 24 in,4.05 kg / 9.0 lb,xqrOjt
Norway,M1925 Sniper Rifle,1117 mm / 44 in,610 mm / 24 in,4.455 kg / 9.9 lb,GVDRnjHM
Norway,M1930 Sniper Rifle,1220 mm / 48 in,750 mm / 29.5 in,5.157 kg / 11.46 lb,AybwLx
