Tie no,Home team,Score,Away team,Random_Column_1,Dummy_Col_2
61,Fiskeby IF (WC),2-1 (gg),Västerviks FF (D4),LmYHPpIA,lMmdBZbm
62,Gnösjö IF (D4),1-3,Skövde AIK (D2),HLCFK,IYFBh
63,Sävsjö FF (D4),5-3,Skillingaryds IS (D4),R3hEzP,QOoAM
64,Boxholms IF (WC),1-2,Tranås AIF (D3),77113,GJhRdD
65,LSW IF (D4),2-1,Husqvarna FF (D2),S86NcN,ybzEZF
66,Lessebo GoIF (D4),0-1,Listerby IK (D4),KLR5v,ekUsEY
67,Rörviks IF (D4),0-2,Lunds BK (D2),XYheFZqO,RTEEZKvK
68,Lagans AIK (D4),0-1,Högaborgs BK (D2),TYheK,PZieCzi
69,IF Eksjö (D4),1-4,Kalmar FF (D2),ti3txR,TmKDfRQ
70,Limmareds IF (D4),1-5,Växjö Norra IF (D2),xcBVl,ObsmId
71,Bankeryds SK (D4),4-1,Hjulsbro IK (D2),dImOA7CF,azPfmU
72,Skultorps IF (D4),0-2,BK Forward (D2),vIy8Cd,dMZKyEdB
