#,Season,Competition,Date,Round,Opponent,H / A,Result,Scorer (s)
47,2013,AFCChampions League,2013-04-10,Group Stage,Vegalta Sendai,A,0–1,V : Atsushi Yanagisawa
48,2013,AFCChampions League,2013-04-24,Group Stage,Jiangsu Sainty,A,2–0,"S : Koh Myong-Jin, Yun Il-Lok"
49,2013,AFCChampions League,2013-05-01,Group Stage,Buriram United,H,2–2,"S : Jung Seung-Yong, Kim Hyun-SungB : Ekkachai Sumrei, Theeraton Bunmathan"
50,2013,AFCChampions League,2013-05-14,Round of 161st leg,Beijing Guoan,A,0–0,
51,2013,AFCChampions League,2013-05-21,Round of 162nd leg,Beijing Guoan,H,3–1,"S : Adilson dos Santos, Yun Il-Lok, Koh Myong-JinB : Frédéric Kanouté"
52,2013,AFCChampions League,2013-08-21,Quarter-finals1st leg,Al-Ahli,A,1–1,S : Dejan DamjanovićA : Sultan Al-Sawadi
53,2013,AFCChampions League,2013-09-18,Quarter-finals2nd leg,Al-Ahli,H,1–0,S : Dejan Damjanović
54,2013,AFCChampions League,2013-09-25,Semi-finals1st leg,Esteghlal,H,2–0,"S : Dejan Damjanović, Ko Yo-Han"
55,2013,AFCChampions League,2013-10-02,Semi-finals2nd leg,Esteghlal,A,2–2,"S : Ha Dae-Sung, Kim Jin-KyuE : Jlloyd Samuel, Mohammad Ghazi"
56,2013,AFCChampions League,2013-10-26,Final1st leg,Guangzhou Evergrande,H,2–2,"S : Sergio Escudero, Dejan DamjanovićG : Elkeson, Gao Lin"
57,2013,AFCChampions League,2013-11-09,Final2nd leg,Guangzhou Evergrande,A,1–1,S : Dejan DamjanovićG : Elkeson
