Name,Country,Top rugby league level,Top union level,Top representation level,Rugby League Debut,Rugby Union Debut
Chev Walker,England,Super League,English Premiership,"Great Britain (RL), England Saxons (RU)",1999,2007
Barrie Jon Mather,England,RFL Championship/Super League,England RU,"Great Britain (RL), England (RL), England (RU)",1992,1998
Sonny Bill Williams,New Zealand,NRL,"Top 14, Super Rugby","New Zealand Kiwis (RL), New Zealand All Blacks (RU)",2004,2008
Craig Wing,Australia,NRL,Top League,"Australian Kangaroos (RL), Japan (RU)",2002,2010
Craig Gower,Australia,NRL,Top 14,"Australian Kangaroos (RL), Italy (RU)",1996,2008
Mark Gasnier,Australia,NRL,Top 14,Australian Kangaroos (RL),2000,2008
Shontayne Hape,New Zealand,"NRL, Super League",English Premiership,"New Zealand Kiwis (RL), England (RU)",2003,2008
Fabrice Estebanez,France,Super League,Top 14,"France (RL), France (RU)",2005,2010
Tasesa Lavea,New Zealand,NRL,"Super rugby, Top 14","New Zealand Kiwis (RL), Samoa (RU)",2000,2010
Cooper Vuna,New Zealand,NRL,Super rugby,"Tonga (RL), Australia (RU)",2008,2012
Setaimata Sa,"New Zealand, Samoa","NRL, Super League",English Premiership,"New Zealand Kiwis (RL), Samoa (RL), Samoa (RU)",2008,2012
Peter Ryan,Australia,NRL,Super Rugby,Queensland (RL),1989,2000
