Rank,Team,Athletes,Run 1,Run 2,Run 3,Run 4,Final
12,Great Britain (GBR) Great Britain I,"Keith Schellenberg, Rollo Brandt, Ralph Raffles, & John Rainforth",1:21.39,1:18.73,1:20.42,1:21.58,5:22.12
13,Sweden (SWE) Sweden II,"Kjell Holmström, Sven Erbs, Walter Aronson, & Jan Lapidoth",1:20.58,1:20.32,1:21.15,1:21.13,5:23.18
14,Romania (ROU) Romania I,"Heinrich Enea, Dumitru Peteu, Nicolae Moiceanu, & Mărgărit Blăgescu",1:21.53,1:20.58,1:20.64,1:20.44,5:23.19
15,Poland (POL) Poland I,"Stefan Ciapała, Jerzy Olesiak, Józef Szymański, & Aleksander Habala",1:19.95,1:20.25,1:21.10,1:22.19,5:23.49
16,Sweden (SWE) Sweden I,"Olle Axelsson, Ebbe Wallén, Sune Skagerling, & Gunnar Åhs",1:18.95,1:19.98,1:22.75,1:21.86,5:23.54
17,Great Britain (GBR) Great Britain II,"Stuart Parkinson, John Read, Christopher Williams, & Rodney Mann",1:20.72,1:19.92,1:22.51,1:20.58,5:23.73
18,France (FRA) France I,"André Robin, Pierre Bouvier, Jacques Panciroli, & Lucien Grosso",1:20.00,1:21.25,1:20.95,1:21.63,5:23.83
19,United States (USA) USA II,"James Bickford, Donald Jacques, Lawrence McKillip, & Hubert Miller",1:20.97,1:22.47,1:21.22,1:20.50,5:25.16
20,Romania (ROU) Romania II,"Constantin Dragomir, Vasile Panait, Ion Staicu, & Gheorghe Moldoveanu",1:21.21,1:21.22,1:22.37,1:23.03,5:27.83
21,Poland (POL) Poland II,"Aleksy Konieczny, Zygmunt Konieczny, Włodzimierz Źróbik, & Zbigniew Skowroński/Jan Dąbrowski(*)",,,,,5:28.40
