Title,Year,Publisher,Developer,Platforms
The Lord of the Rings: The Two Towers,2002,Electronic Arts,Griptonite Games,Game Boy Advance
The Lord of the Rings: The Return of the King,2003,Electronic ArtsAspyr (Mac OS X),"Electronic Arts,Hypnos Entertainment (GCN & Xbox)Beenox (Mac OS X)","MS Windows, PlayStation 2, Xbox, Nintendo GameCube, Mac OS X"
The Lord of the Rings: The Return of the King,2003,Electronic Arts,Griptonite Games,Game Boy Advance
The Lord of the Rings: War of the Ring,2003,Sierra,Liquid Entertainment,MS Windows
The Hobbit,2003,Sierra,Midway Austin,"MS Windows, PlayStation 2, Xbox, Nintendo GameCube"
The Hobbit,2003,Sierra,Saffire,Game Boy Advance
The Lord of the Rings: The Third Age,2004,Electronic Arts,Electronic Arts,"PlayStation 2, Xbox, Nintendo GameCube"
The Lord of the Rings: The Third Age (GBA),2004,Electronic Arts,Griptonite Games,Game Boy Advance
The Lord of the Rings: The Battle for Middle-earth,2004,Electronic Arts,EA Los Angeles,MS Windows
The Lord of the Rings: Tactics,2005,Electronic Arts,Amaze,PlayStation Portable
The Lord of the Rings: The Battle for Middle-earth II,2006,Electronic Arts,EA Los Angeles,"MS Windows, Xbox 360"
The Lord of the Rings: The Battle for Middle-earth II: The Rise of the Witch-king,2006,Electronic Arts,EA Los Angeles,MS Windows
The Lord of the Rings Online: Shadows of Angmar,2007,"Turbine, Inc., Midway","Turbine, Inc.",MS Windows
