Outcome,No.,Year,Championship,Opponent in the final,Score
Winner,10.,1990,UK Championship (2),Steve Davis,16–15
Runner-up,4.,1991,Classic,Jimmy White,4–10
Winner,11.,1991,British Open (2),Gary Wilkinson,10–9
Winner,12.,1991,Grand Prix (3),Steve Davis,10–6
Winner,13.,1992,Welsh Open,Darren Morgan,9–3
Runner-up,5.,1992,Classic (2),Steve Davis,8–9
Winner,14.,1992,World Snooker Championship (2),Jimmy White,18–14
Runner-up,6.,1992,Dubai Classic,John Parrott,8–9
Runner-up,7.,1993,European Open (2),Steve Davis,4–10
Winner,15.,1993,International Open,Steve Davis,10–6
Winner,16.,1993,World Snooker Championship (3),Jimmy White,18–5
Winner,17.,1993,Dubai Classic (3),Steve Davis,9–3
