District,Senator,Party,Caucus,First elected,Counties Represented,Noise_Field_1,Extra_Data_2
54,Michael Nozzolio,Republican,Republican,1992,"Cayuga, Monroe, Ontario, Seneca, Tompkins, Wayne",lmYavrE,343
55,Ted O'Brien,Democratic,Democratic,2012,"Monroe, Ontario",bweEAhH,454
56,Joseph Robach,Republican,Republican,2002,Monroe,fWWJfg,743
57,Catharine Young,Republican,Republican,2005†,"Allegany, Cattaraugus, Chautauqua, Livingston",KWfCys,489
58,Tom O'Mara,Republican,Republican,2010,"Chemung, Schuyler, Steuben, Tompkins, Yates",HDbttVY,344
59,Patrick Gallivan,Republican,Republican,2010,"Erie, Livingston, Monroe, Wyoming",HdJOVCBZ,995
60,Mark Grisanti,Republican,Republican,2010,Erie,ZHWeFCCX,542
61,Michael H. Ranzenhofer,Republican,Republican,2008,"Erie, Genesee, Monroe",UMHXHRP,913
62,George D. Maziarz,Republican,Republican,1995†,"Monroe, Niagara, Orleans",uQosllXe,739
63,Timothy M. Kennedy,Democratic,Democratic,2010,Erie,FVrcN,560
