Name,Nationality,Position,Spartak career,Appearances,Goals
Maksim Buznikin,Russia,FW,"1997–99, 2000",55,18
Vladimir Bystrov,Russia,MF,2005–09,99,17
Fernando Cavenaghi,Argentina,FW,2004–06,51,12
Stanislav Cherchesov,Russia,GK,"1984–87, 1989–93, 1995, 2002",149,0
Fyodor Cherenkov,Russia,MF,"1977–90, 1991, 1993",398,95
Vladimir Chernyshev,Soviet Union,GK,1946–55,74,0
Viktor Chistyakov,Soviet Union,MF,1957–62,51,3
Boris Chuchelov,Soviet Union,FW,1948,19,11
Serghei Covalciuc,Moldova,MF,2004–09,90,2
Rinat Dasayev,Soviet Union,GK,1977–88,335,0
Nikolay Dementyev,Soviet Union,FW,1946–54,186,55
Valeri Dikaryov,Soviet Union,DF,1961–67,192,1
Vadim Evseev,Russia,DF,"1993–98, 1999",62,3
Yuri Falin,Soviet Union,MF,"1961–65, 1967",133,34
Malik Fathi,Germany,DF,2008–09,37,6
Aleksandr Filimonov,Russia,GK,1996–2001,147,0
Yuri Gavrilov,Soviet Union,MF,1977–85,280,89
Edgar Gess,Soviet Union,MF,1979–83,114,26
Valeri Gladilin,Soviet Union,MF,"1974–78, 1983–84",169,28
