Name,Nationality,Position,Spartak career,Appearances,Goals,Unused_1,Unused_2,Extra_Data_3
Boris Lobutev,Soviet Union,FW,1957–60,15,7,,,804
Gennady Logofet,Soviet Union,DF,1960–75,349,27,,,148
Evgeny Lovchev,Soviet Union,MF,1969–78,249,30,,,380
Konstantin Malinin,Soviet Union,DF,1939–50,140,7,,,928
Ramiz Mamedov,Russia,DF,1991–98,125,6,,,325
Valeri Masalitin,Russia,FW,1994–95,7,5,,,426
Vladimir Maslachenko,Soviet Union,GK,1962–68,196,0,,,287
Anatoli Maslyonkin,Soviet Union,DF,1954–63,216,8,,,97
Aleksei Melyoshin,Russia,MF,1995–2000,68,5,,,244
Aleksandr Minayev,Soviet Union,MF,1972–75,92,10,,,197
Alexander Mirzoyan,Soviet Union,DF,1979–83,80,9,,,927
Vitali Mirzoyev,Soviet Union,FW,1971–74,58,4,,,810
Viktor Mishin,Soviet Union,FW,1956–61,43,8,,,584
Igor Mitreski,Macedonia,DF,2001–04,85,0,,,396
Gennady Morozov,Soviet Union,DF,"1980–86, 1989–90",196,3,,,848
Aleksandr Mostovoi,Soviet Union,MF,1986–91,106,34,,,211
Mozart,Brazil,MF,2005–08,68,7,,,43
Ivan Mozer,Soviet Union,MF,1956–61,96,30,,,13
Mukhsin Mukhamadiev,Russia,MF,1994–95,30,13,,,623
