Name,Location,City,Listing date,Random_Column_1,Unused_2,Extra_Data_3
Branch County Courthouse Informational Site,31 Division Street,Coldwater,"March 16, 1989",PwSofg,,298
Bronson Public Library,207 Matteson Street,Bronson,"September 28, 2000",OJvwpD,,202
Chicago Road Informational Designation,US-12 and Prairie River Road (Park 1.5 miles west of Bronson),Bronson Township,"September 17, 1957",EZGtih0,,19
City of Coldwater Informational Designation,City Park at intersection of US-12 and US-27,Coldwater,"April 14, 1961",whhHeus,,777
Edwin R. Clarke Library (Michigan Library Association),"12 East Chicago Street, between Division and Hudson streets",Coldwater,"March 9, 1966",iz6Ct7M,,103
Dr. Hawley Harvey Crippen Home Site Informational Designation,66 North Monroe Street,Coldwater,"August 21, 1987",eyL8e3,,92
East Chicago Street Historic District†,"Chicago Street from Wright to Division streets, including the four parks at Division",Coldwater,"July 26, 1974",gsXaP,,640
First Presbyterian Church†,"52 Marshall Street, NE corner of Marshall and Church streets",Coldwater,"June 15, 1979",paCOwb,,209
Abram C. Fisk House†,867 East Chicago Street,Coldwater,"June 15, 1979",fEBToA5q,,590
William P. Hurd House,601 North Broadway,Union City,"July 17, 1981",uSReu,,217
Lanphere-Pratt House,90 Division Street,Coldwater,"February 23, 1978",GVBuz,,412
Henry A. Locke House,140 East Division Street,Sherwood,"March 19, 1980",r2SqMbB,,300
