Name,Lifetime,Nationality,Notable as,Notes
Jacques d'Adelswärd-Fersen,1880–1923,French,Aristocrat and writer,G
Charles Coypeau d'Assoucy,1605-1677,French,Musician and burlesque poet,G
Torstein Dahle,b. 1947,Norwegian,Politician,G
Eva Dahlgren,b. 1960,Swedish,Pop musician,L
Jeffrey Dahmer,1960–1994,American,Serial killer,G
Stephen Daldry,b. 1961,English,Film director,G
Grover Dale,b. 1935,American,"Actor, dancer, choreographer",B
James Dale,b. 1971,American,Boy Scouts leader expelled for being gay,G
Tom Daley,b. 1994,British,Olympic diver,B
Matt Dallas,b. 1982,American,Actor,G
Joe Dallesandro,b. 1948,American,Actor,B
Sam D'Allesandro,1956–1988,American,Writer,G
Mary Daly,b. 1928,American,Feminist philosopher and theologian,L
Blyth Daly,1901–1965,American,Actor,L
Anne Seymour Damer,1748–1828,British,Sculptor,B
Antonio D'Amico,b. 1959,Italian,"Model, fashion designer",G
