Name,Lifetime,Nationality,Notable as,Notes,Irrelevant_1,Random_Column_2,Unused_3
Russell T Davies,b. 1963,British,Television producer and writer,G,ECRXa0la,JFHHI,
Steven Davies,b. 1986,British,Cricketer,G,LDJSJVP,F7PLam8u,
Terence Davies,b. 1945,English,Filmmaker,G,0O62jE8,ThjjEil,
Angela Davis,b. 1944,American,Activist,L,DFkkOQ,ROzm4YDL,
Clive Davis,b. 1932,American,Record company executive,B,2iAfJSez,wV5nhcFT,
Evan Davis,b. 1962,English,"Journalist, economist",G,EacUD,HzP3DC,
Frederick W. Davis,1880–1961,American-Mexican,Art dealer,G,MXGCwKVA,BQTOupk,
Madeline Davis,b. 1940,American,Activist,L,NkYEQz8G,qleXiwh,
Tanya Davis,b. ?,Canadian,"musician, poet",B,A87qbnST,lODbE,
Vaginal Davis,b. 1969,American,Artist,L,nrlMtm,Jp1VY,
Spencer Day,b. ?,American,Musician,G,cIRyKCJG,hmm5V55,
Richard Deacon,1921–1984,American,Actor,G,sCVOtMxH,EP0Xr8PO,
James Dean,1931–1955,American,Actor,G,ZnvK7,NVp5L,
Mercedes de Acosta,1893–1968,American,"Writer, socialite",L,r4p84RwZ,Dw1NJW,
Dean DeBlois,b. 1970,Canadian,"Film director, animator",G,p2KZ2,JRtG1L,
Frank DeCaro,b. 1962,American,"Writer, performer",G,5Xd4pevG,hAWuQW,
