Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²),Noise_Field_1,Filler_2,Irrelevant_3
Spiritwood,Spiritwood No. 496,916,911,0.5,2.95,310,rcSPqd,CtfADbsT,USv6acmA
Springside,St. Philips No. 301,534,513,4.1,0.68,791,mEgyfnMj,KlDcZBHx,JIyvbP
St. Brieux,Lake Lenore No. 399,590,492,19.9,2.55,231.4,acMIdu,YykvFzN,07uiHEIp
St. Walburg,Frenchman Butte No. 501,716,672,6.5,2.12,338,xjRfI,ZKPxNssw,UmKo3wS
Star City,Star City No. 428,460,428,7.5,0.7,661.1,RuufxI,AKjOnmQ,etmQp
Stoughton,Tecumseh No. 65,694,653,6.3,3.41,203.2,tccQUs,utiKgEG,TxHtmJSM
Strasbourg,McKillop No. 220,752,732,2.7,5.7,132,ddEvogs,atrYPWS,yPE2zN
Sturgis,Preeceville No. 334,620,575,7.8,3.41,181.6,nNGYqAt,FirnFJU,AO9bb
Tisdale,Tisdale No. 427,"3,180","3,000",6,6.47,491.5,giUZc,cAqWoxV,XoXhh3t
Turtleford,Mervin No. 499,525,461,13.9,1.69,311.6,pgaIvFSN,LMsfSjA,S0scZ
Unity,Round Valley No. 410,"2,389","2,147",11.3,9.77,244.6,TfOsbzH,qsVVwx,FFt8Pce
Vonda,Grant No. 372,353,322,9.6,2.86,123.6,XrBIVpYH,JJkmqT,ggrlZ
Wadena,Lakeview No. 337,"1,306","1,315",−0.7,2.91,449.5,XuXinI,CjUxBH,R7bIZ5
Wakaw,Fish Creek No. 402,985,864,14,3.12,315.9,trUQh,AsMtuE,pnsXo
