Yacht,Nation,Owner,Skipper,Launch year
AFR Midnight Rambler,(NSW),Ed Psaltis,Ed Psaltis,2002
Alacrity,(QLD),Matthew Percy,Matthew Percy,2004
Another Challenge,(VIC),Chris Lewin,Chris Lewin,2000
Another Fiasco,(QLD),Damian Suckling,Damian Suckling,1994
Aurora,(NSW),Jim Holley,Jim Holley,1983
Balance,(NSW),Paul Clitheroe,Paul Clitheroe,2006
Bear Necessity,(NSW),Andrew & Pauline Dally,Andrew Dally,2007
Berrimilla,(NSW),Alex Whitworth,Alex Whitworth,1977
Capriccio of Rhu,,Michele Colenso,Andrew Poole,1987
Challenge,(VIC),Lou Abrahams,Lou Abrahams,2004
Chutzpah,(VIC),Bruce Taylor,Bruce Taylor,2007
