Date,Time,Opponent,Site,TV,Result,Attendance,Record,Dummy_Col_1
01/26/2013,7:30 PM,at Tennessee Tech,"Eblen Center • Cookeville, TN",,L 52–70,"2,459",5–17 (1–7),KdMTADu
02/02/2013,12:00 PM,at Murray State,"CFSB Center • Murray, KY",ESPNU,L 68–75 OT,"6,111",5–18 (1–8),imNyR
02/07/2013,7:00 PM,Tennessee State,"Dunn Center • Clarksville, TN",,L 82–88 OT,"2,186",5–19 (1–9),kOWufxFd
02/09/2013,7:30 PM,Belmont,"Dunn Center • Clarksville, TN",,L 65–78,"4,097",5–20 (1–10),kxSXh
02/14/2013,7:00 PM,at Eastern Illinois,"Lantz Arena • Charleston, IL",,W 71–64,444,6–20 (2–10),IRtLZCB
02/16/2013,7:00 PM,at SIU Edwardsville,"Vadalabene Center • Edwardsville, IL",,W 83–71,"2,436",7–20 (3–10),ifezDcF
02/20/2013,6:00 PM,at Eastern Kentucky,"Alumni Coliseum • Richmond, KY",,L 53–91,"3,400",7–21 (3–11),RswJgGb
02/23/2013*,3:00 PM,at Liberty,"Vines Center • Lynchburg, VA(BracketBusters)",,L 73–79 OT,"2,678",7–22,xzGMf
02/28/2013,7:00 PM,Southeast Missouri State,"Dunn Center • Clarksville, TN",,L 81–108,"1,920",7–23 (3–12),wVLVWAj
03/02/2013,7:30 PM,Tennessee–Martin,"Dunn Center • Clarksville, TN",,W 91–58,"2,408",8–23 (4–12),lsUGla
