Country,2014,2013,2012,2010,2009,2008,2007,2006,2005,2004,2003,2002
Bolivia,(094)31.04,(109)32.80,(108)40.00,(103)28.13,(095)24.17,(115)28.20,(068)21.50,(016)4.50,(045)9.67,(076)20.00,(051)9.67,(048)14.50
Ecuador,(095)31.16,(119)34.69,(104)38.00,(101)27.50,(084)20.00,(074)15.50,(056)18.50,(068)15.25,(087)21.75,(066)16.50,(042)7.67,(020)5.50
Israel,(096)31.19,(112)32.97,(092)31.25,(086)23.25,(093)23.75,(046)8.83,(044)13.25,(050)12.00,(047)10.00,(036)8.00,(044)8.00,(092)30.00
Kyrgyzstan,(097)31.24,(106)32.20,(108)40.00,(159)63.00,(125)40.00,(111)27.00,(110)33.60,(123)34.00,(111)32.00,(107)35.25,(104)32.00,(098)31.75
Gabon,(098)31.32,(089)28.69,(101)36.50,(107)28.75,(129)43.50,(110)26.75,(102)31.50,(114)28.50,(102)26.00,(115)37.50,(101)31.25,(058)20.50
Greece,(099)31.33,(084)28.46,(070)24.00,(070)19.00,(035)9.00,(031)7.50,(030)9.25,(032)8.00,(018)4.00,(033)7.00,(031)6.00,(019)5.00
Bulgaria,(100)31.42,(087)28.58,(080)29.00,(070)19.00,(068)15.61,(059)12.50,(051)16.25,(035)9.00,(048)10.25,(036)8.00,(034)6.50,(038)9.75
Ivory Coast,(101)31.63,(096)29.77,(159)83.50,(118)36.00,(103)29.00,(109)26.50,(094)27.00,(098)25.00,(144)52.25,(149)60.38,(137)42.17,(055)19.00
Guinea,(102)31.67,(086)28.49,(086)30.00,(113)33.50,(100)28.50,(099)21.50,(107)33.50,(109)27.50,(102)26.00,(088)24.50,(109)33.17,(079)26.00
Seychelles,(103)31.68,(093)29.19,(073)25.00,(065)18.00,(072)16.00,(074)15.50,(104)33.00,(095)24.50,(071)17.00,(083)23.50,(093)26.75,(060)20.75
Peru,(104)31.70,(105)31.87,(115)51.25,(109)30.00,(085)20.88,(108)26.25,(117)37.38,(112)28.25,(116)33.33,(123)40.00,(055)10.25,(036)9.50
Paraguay,(105)31.81,(091)28.78,(080)29.00,(054)16.25,(054)14.33,(090)20.50,(090)26.10,(082)18.25,(069)15.50,(046)10.50,(040)7.17,(032)8.50
Lebanon,(106)31.89,(101)30.15,(093)31.50,(078)20.50,(061)15.42,(066)14.00,(098)28.75,(107)27.00,(108)28.25,(087)24.38,(106)32.50,(056)19.67
Fiji,(107)32.57,(107)32.69,(117)55.00,(149)52.75,(152)60.00,(079)16.00,(107)33.50,(058)14.00,(060)14.00,(063)16.00,(059)11.50,N/A
Maldives,(108)33.11,(103)31.10,(073)25.00,(052)16.00,(051)14.00,(104)23.25,(129)45.17,(144)51.25,(148)58.50,(157)69.17,(145)47.50,N/A
Central African Republic,(109)33.13,(065)26.61,(062)20.00,(069)18.50,(080)17.75,(085)18.50,(071)22.50,(062)14.50,(082)19.75,(104)32.50,(107)32.75,(063)21.50
Uganda,(110)33.29,(104)31.69,(139)64.00,(096)25.50,(086)21.50,(107)26.00,(096)28.00,(116)29.83,(080)19.25,(086)24.00,(091)25.75,(052)17.00
Brazil,(111)34.03,(108)32.75,(099)35.33,(058)16.60,(071)15.88,(082)18.00,(084)25.25,(075)17.17,(063)14.50,(066)16.50,(071)16.75,(054)18.75
