Date,Opponent,Venue,Result,Attendance,Scorers,Noise_Field_1,Irrelevant_2
26 December 1998,Crystal Palace,H,1-3,"8,375",Windass,IrezN,c8HZWZ
28 December 1998,Portsmouth,A,2-2,"12,604",Banger (2),qIAxS,EY0RXA
9 January 1999,Bristol City,H,0-0,"9,434",,SJCOL,sOC624Rk
16 January 1999,Grimsby Town,A,0-1,"6,626",,mHpkWL,GqPR0
30 January 1999,Barnsley,H,1-0,"6,174",Windass,ZcZPd,ZFibkB5G
6 February 1999,Wolverhampton Wanderers,A,1-1,"20,811",Windass,DgKAk,jwIDMe
13 February 1999,Swindon Town,H,2-0,"8,179","Windass (2, 1 pen)",FxBPhrnN,Zf3dy
20 February 1999,Ipswich Town,A,1-2,"16,920",Rémy,EQwuA,XBX0cuYM
27 February 1999,Sunderland,H,0-0,"9,044",,RPrtnGj,oW2Y2
3 March 1999,Queens Park Rangers,A,0-1,"9,040",,rMzPPF,Vx7We
6 March 1999,West Bromwich Albion,A,0-2,"13,875",,pKwsI,JeDNXxJ
