Number,South or west terminus,North or east terminus,Length (mi),Length (km),Formed,Deleted,Notes
SR-30,Fountain Green,Spring City,,,1930s,1966,
US-30S,Idaho state line near Snowville,"Wyoming state line near Evanston, Wyoming",,,1926,1977,Replaced by I-84 and I-80
SR-31,US-89 in Fairview,SR-10 in Huntington,47.746,76.840,1930s,current,
SR-32,US-40 north of Heber City,I-80 northeast of Wanship,29.053,46.756,1989,current,Old routing of US-189
SR-32,Pigeon Hollow Junction,Thistle,,,1930s,1977,Legislative designation for a portion of US-89
SR-33,US-6 near Helper,US-40 in Duchesne,,,1930s,1981,now part of US-191
SR-34,SR-18 in St. George,Towards Washington,2.150,3.460,1964,current,
SR-34,US-40 near Heber City,US-530 in Wanship,,,1930s,1953,Legislative designation for then US-189 now SR-32
SR-35,SR-32 at Francis,SR-87 north of Duchesne,62.012,99.799,1930s,current,
SR-36,US-6 west of Eureka,I-80 north of Tooele,65.914,106.078,1930s,current,
SR-37,SR-126 in Sunset,SR-108 near Roy,12.351,19.877,1930s,current,
SR-38,SR-13 in Brigham City,SR-30 in Collinston,18.952,30.500,1993,current,
SR-38,I-15 near Parowan,I-15 near Parowan,,,1968,1975,"Formerly part of US-91, Now SR-271"
SR-38,Roy,Hooper Junction,,,1930s,1966,Now part of SR-37
SR-39,SR-134 west of Ogden,SR-16 in Woodruff,67.744,109.023,1930s,current,
US-40,I-80 near Park City,"Colorado state line near Dinosaur, Colorado",174.624,281.030,1977,current,
SR-40,,,,,1930s,1977,Now part of SR-138
SR-41,I-15/SR-28 in Nephi,I-15 in Nephi,,,1968,2006,"Formerly part of US-91, now part of SR-28"
SR-41,,,,,1930s,1962,Now part of SR-13
SR-42,"Idaho state line near Malta, Idaho",SR-30 at Curlew Junction (near Promontory),7.390,11.893,1930s,current,Formerly part of US-30S
SR-43,"Wyoming Highway 414 at the Wyoming state line near Mountain View, Wyoming","Wyoming Highway 530 at the Wyoming state line near Green River, Wyoming",10.557,16.990,1930s,current,
SR-44,US-191 at Greendale Junction (Flaming Gorge),SR-43 in Manila,27.995,45.054,1930s,current,
SR-45,South of Bonanza,US-40 near Naples,40.028,64.419,1930s,current,
SR-46,US-191 at La Sal Junction,"Colorado State Highway 90 at the Colorado state line near Naturita, Colorado",21.595,34.754,1930s,current,
SR-47,Arizona state line in Monument Valley,Monticello,,,1930s,1977,Now US-163 and part of US-191
SR-48,Copperton,US-89 in Midvale,12.699,20.437,1930s,current,
SR-49,US-91 at Farmington,I-84 near Ogden,,,1927,1977,Legislative designation for portion of US-89
US-50,"Nevada state line near Baker, Nevada","Colorado state line near Fruita, Colorado",334.920,539.001,1977,current,
SR-50,SR-126 in Roy,US-89 in Ogden,,,1969,1977,"Formerly part of US-91, now SR-26"
SR-50,Wattis,SR-122 near Hiawatha,,,1935,1969,No longer part of the state highway network
SR-51,SR-147 in Spanish Fork,US-89 in Springville,3.339,5.374,1992,current,Formerly part of US-91
SR-51,US-89 in Garden City,Wyoming state line near Randolph,,,1930s,1977,Now part of SR-30
SR-52,SR-114 in Orem,US-189 in Orem,4.477,7.205,1930s,current,
SR-53,I-15/I-84 in Ogden,US-89 in Ogden,1.949,3.137,1969,current,
SR-53,US-6 near Wellington,Nine Mile Canyon,,,1930s,1969,No longer part of the state highway network
SR-54,Mona,I-15 east of Mona,1.344,2.163,1971,current,
SR-54,Tropic,SR-12,,,1930s,1969,
SR-55,US-6/US-191 west of Price,US-6/US-191 southeast of Price,2.942,4.735,1975,current,Old routing of US-6
SR-55,,,,,1930s,1969,
SR-56,"Nevada State Route 319 at the Nevada state line near Caliente, Nevada",SR-130 in Cedar City,61.502,98.978,1930s,current,
SR-57,SR-10 south of Orangeville,Wilberg Mine northwest of Orangeville,10.691,17.205,1930s,current,
SR-58,"I-80 Bus. at Nevada state line in West Wendover, Nevada",I-80 (Exit 2) in Wendover,1.363,2.194,1969,current,Formerly part of US-40
SR-58,Kanarraville,Kanarraville,,,1965,1969,Formerly part of US-91
SR-58,,,,,1930s,1953,
SR-59,"Arizona State Route 389 in Colorado City, Arizona",SR-9 in Hurricane,22.206,35.737,1930s,current,
SR-60,SR-26 in Riverdale,US-89 in South Weber,7.496,12.064,1930s,current,Formerly part of US-30S
SR-61,SR-23 in Cornish,US-91 at Webster Junction (near Cove),7.287,11.727,1930s,current,
SR-62,US-89 south of Junction,SR-24 at Plateau Junction near Koosharem,42.833,68.933,1930s,current,
