#,Date,Venue,Opponents,Score,Comp,Denmark scorers
214,1957-09-22,"Ullevaal Stadion, Oslo (A)",Norway,2-2,NC,"Poul Pedersen, Peder Kjær"
215,1957-10-02,"Idrætsparken, Copenhagen (H)",Republic of Ireland,0-2,WCQ,
216,1957-10-13,"Idrætsparken, Copenhagen (H)",Finland,3-0,NC,"Finn Alfred Hansen, Ove Bech Nielsen, Mogens Machon"
217,1958-05-15,"Aarhus Stadion, Aarhus (H)",Curaçao,3-2,F,"Poul Pedersen, Henning Enoksen (2)"
218,1958-05-25,"Idrætsparken, Copenhagen (H)",Poland,3-2,F,"Jørn Sørensen, Poul Pedersen (2)"
219,1958-06-29,"Idrætsparken, Copenhagen (H)",Norway,1-2,NC,Poul Pedersen
220,1958-09-14,"Olympic Stadium, Helsinki (A)",Finland,4-1,NC,"Poul Pedersen, Mogens Machon, John Danielsen (2)"
221,1958-09-24,"Idrætsparken, Copenhagen (H)",West Germany,1-1,F,Henning Enoksen
222,1958-10-15,"Idrætsparken, Copenhagen (H)",Netherlands,1-5,F,Henning Enoksen
223,1958-10-26,"Råsunda Stadium, Stockholm (A)",Sweden,4-4,NC,"Ole Madsen (2), Henning Enoksen, Jørn Sørensen"
