Ship Name,Desig,Status,Notes,Links,Unused_1,Noise_Field_2
Neosho,AO-23,"Undamaged, moved to berth M-3 Merry Point at 0930",aft of California),[80],,bgwPw
Medusa,AR-1,Undamaged,moored berth X-23 near Curtiss,[81],,UTlSdwKq
Vestal,AR-4,"Damaged, struck by 2 bombs and adjacent to Arizona during explosions",moored port side to the port side of the Arizona at F-7,[82],,MEbwhzH
Rigel,AR-11,Minor damage from bomb near-misses,"moored in berth B-13, Navy Yard, unarmed and undergoing major repairs and conversion, forward of Ramapo",[83],,NCUAMq
Pelias,AS-14,Undamaged,moored at submarine Base dock,[84],,RNMuV
Widgeon,ASR-1,Undamaged,berthed at the submarine base,[85],,EdqaHMuo
Solace,AH-5,Undamaged,moored berth X-4. Moved to berth X-13 at 0900.,[86],,pfIaXEIk
Castor,AKS-1,Undamaged,"berthed at Merry Point berth M-4, near Sumner",[87],,VOPEiy
Antares,AKS-3,"Undamaged, docked at Honolulu at 1146",Operating at harbor entrance,[88],,oDspp
Ontario,AT-13,Undamaged,"moored in berth B-18, Repair Basin, Pearl Harbor outboard of the Sicard, undergoing an overhaul",[89],,bvECOOK
