#,Temple name,Hangul,Hanja,Period of reign,Personal name,Relationship,Note
22,Munju,문주왕,文周王,475–477,"Modo (모도, 牟都) or Do (도, 都)",son of Gaero,
23,Samgeun,삼근왕,三斤王,477–479,"Samgeun (삼근, 三斤), Imgeol (임걸, 壬乞) or Samgeol (삼걸, 三乞)",first son of Munju,"also Mun-geun (문근왕, 文斤王)"
24,Dongseong,동성왕,東城王,479–501,"Modae (모대, 牟大) or Mamo (마모, 摩牟)",cousin of Samgeum,
25,Muryeong,무령왕,武寧王,501–523,"Sama (사마, 斯麻 or 斯摩) or Yung (융, 隆)",second son of Dongseong,"also Sama (사마왕, 斯麻王), Do (도왕, 嶋王), or Horyeong (호령왕, 虎寧王)"
26,Seong,성왕,聖王,523–554,"Myeong (명, 明)",son of Muryeong,"also Myeong (명왕, 明王) or Seongmyeong (성명왕, 聖明王)"
27,Wideok,위덕왕,威德王,554–598,"Chang (창, 昌)",first son of Seong,"also Chang (창왕, 昌王)"
28,Hye,혜왕,惠王,598–599,"Gye (계, 季)",younger brother of Wideok,"also Heon (헌왕, 獻王)"
29,Beop,법왕,法王,599–600,"Seon (선, 宣) or Hyosun (효순, 孝順)",first son of Hye,
30,Mu,무왕,武王,600–641,"personal name Jang (장, 璋) or Seodong (서동, 薯童)",youngest son of Wideok,"also Mugang (무강왕, 武康王) or Mugwang (무광왕,武廣王)"
31,Uija,의자왕,義慈王,641–660,,first son of Mu,
