Title,Alternate Title(s),Year,Manufacturer,Genre(s),Max. Players
"Ocean Hunter, The",—,1998,Sega,Shooting gallery,2
Off Road Challenge,—,1997,Midway,Racing,1
Off Road Thunder,—,2000,Midway,Racing,1
Off The Wall,—,1991,Atari Games,Breakout,2
Oh My God!,—,1993,Atlus,Puzzle,2
Oishii Puzzle Wa Irimasen Ka,—,1993,Sunsoft,Puzzle,2
Oli-Boo-Chu,—,1982,Irem,,2
Ollie King,—,2004,Smilebit,,
Omega Fighter,—,1989,UPL,Scrolling shooter,2
Omega Race,—,1982,Midway,Multidirectional shooter,1
One Shot One Kill,—,,Playmark,Shooting gallery,2
