City,Country,IATA,ICAO,Airport,Commenced,Ended
Guangzhou,China,CAN,ZGGG,Guangzhou Baiyun International Airport,2006,present
Haikou,China,HAK,ZJHK,Haikou Meilan International Airport,2006,present
Hanoi,Vietnam,HAN,VVNB,Noi Bai International Airport,2005,present
Hat Yai,Thailand,HDY,VTSS,Hat Yai International Airport,2004[N],present[N]
Ho Chi Minh City,Vietnam,SGN,VVTS,Tan Son Nhat International Airport,2005,present
Hong Kong,Hong Kong,HKG,VHHH,Hong Kong International Airport,2010,present
Hyderabad,India,HYD,VOHS,Rajiv Gandhi International Airport,2012,present
Jakarta,Indonesia,CGK,WIII,Soekarno–Hatta International Airport,2009,present
Kochi,India,COK,VOCI,Cochin International Airport,2012,present
Krabi,Thailand,KBV,VTSG,Krabi Airport,2005[N],present[N]
Kuala Lumpur,Malaysia,KUL,WMKK,Kuala Lumpur International Airport,2008,present
