City,Country,IATA,ICAO,Airport,Commenced,Ended,Unused_1,Irrelevant_2
Kuching,Malaysia,KCH,WBGG,Kuching International Airport,2008,2013,,YU9ADBO
Langkawi,Malaysia,LGK,WMKL,Langkawi International Airport,2009,2010,,FR4Sl
Lijang,China,LJG,ZPLJ,Lijiang Sanyi Airport,2013,present,,abBxnEem
Lombok,Indonesia,LOP,WADL,Lombok International Airport,2013,present,,Nen2pRf
Macau,Macau,MFM,VMMC,Macau International Airport,2005,present,,6XADfqzA
Male,Maldives,MLE,VRMM,Ibrahim Nasir International Airport,2014,present,,gK81QJg
Manila,Philippines,MNL,RPLL,Ninoy Aquino International Airport,2010,present,,Ovrov
Ningbo,China,NGB,ZSNB,Ningbo Lishe International Airport,2013,present,,rzS6h2fj
Penang,Malaysia,PEN,WMKP,Penang International Airport,2009,present,,esbwR
Perth,Australia,PER,YPPH,Perth Airport,2004,present,,Zvfe0
Phnom Penh,Cambodia,PNH,VDPP,Phnom Penh International Airport,2012,present,,QyG2g48
