Date,Opponent,Venue,Result,Attendance,Scorers
5 April 1988,Sheffield Wednesday,Home,2–2,"07,337","McDonough, B. Stein"
12 April 1988,Manchester United,Away,0–3,"28,830",—
19 April 1988,Queens Park Rangers,Home,2–1,"06,735","Foster, Wilson (pen)"
30 April 1988,Norwich City,Away,2–2,"13,171","M. Stein, Wilson (pen)"
2 May 1988,Watford,Home,2–1,"10,409","Oldfield, Wilson (pen)"
4 May 1988,Tottenham Hotspur,Away,1–2,"15,437",Grimes
7 May 1988,Southampton,Away,1–1,"12,722",Wilson
9 May 1988,Liverpool,Away,1–1,"30,374",Oldfield
13 May 1988,Nottingham Forest,Home,1–1,"09,108",Donaghy
15 May 1988,Nottingham Forest,Away,1–1,"13,106",Oldfield
