Week #,Theme,Song Choice,Original Artist,Order #,Result,Filler_1
Top 4,Brazil Regional,"\Eva\""""",Radio Taxi,3,Safe,ALkUMTI
Top 4,Brazil Regional,"\Admirável Gado Novo\""""",Zé Ramalho,7,Safe,cyhOgaMb
Top 3,Contestant's Choice,"\As Sete Vampiras\""""",Léo Jaime,2,Safe,pMslr
Top 3,Contestant's Choice,"\Eu Me Rendo\""""",Fábio Júnior,5,Safe,JvnJP
Top 2,Winner's Single,"\Deixo A Voz Me Levar\""""",Leandro Lopes,2,Winner,PnQZLtPv
Top 2,Challenging Songs,"\Queixa\""""",Caetano Veloso,4,Winner,IrjKuS
Top 2,Judge's Choice,"\Quero Te Encontrar\""""",Kid Abelha,6,Winner,vsmpRzj
Top 2,Best of the Season,"\Paraíso\""""",Cláudio Zoli,8,Winner,ejnQywv
Top 2,Celebrity Duet,"\Admirável Gado Novo\""",,,,OWpgAAw
"with Zé Ramalho""",Zé Ramalho,10,Winner,,,VhUrZn
