Name,Date of birth,Club,Division,Appointed,Time as manager,Irrelevant_1,Irrelevant_2,Noise_Field_3
Francis Bosschaerts,15 October 1956,Heist,Belgian Second Division,1 June 1999,"15 years, 25 days",uhIGi,iWcVrNd,kcKeU
Peter Maes,1 June 1964,Lokeren,Belgian Pro League,20 May 2010,"4 years, 37 days",ITXFq1TA,P38MDEdL,xmRtKq
Hein Vanhaezebrouck,16 February 1964,Kortrijk,Belgian Pro League,6 June 2010,"4 years, 20 days",2Oar7,C9EBnD7,ixQbDAe
Frederik Vanderbiest,10 October 1977,Oostende,Belgian Pro League,15 February 2011,"3 years, 131 days",bU5Wd,Wz64n,AMosYZk
Arnauld Mercier,4 June 1972,Boussu Dour,Belgian Second Division,21 April 2011,"3 years, 66 days",1hwKKq7U,d0Zoj0H,OyEMsWzr
Frank Defays,23 January 1974,Virton,Belgian Second Division,6 June 2011,"3 years, 20 days",alzDnOg,0gPYjo0,bWbfGymF
Serhiy Serebrennikov,1 September 1976,Roeselare,Belgian Second Division,30 June 2011,"2 years, 361 days",rhVgtuo,6V05K,QwgKmLUf
Regi Van Acker,25 April 1955,Hoogstraten,Belgian Second Division,23 November 2011,"2 years, 215 days",76eGG,usWbC0po,OYPqPcWp
Francky Dury,11 October 1957,Zulte Waregem,Belgian Pro League,30 December 2011,"2 years, 178 days",FXRkK,NggYZ,qZcWbxt
Dante Brogno,2 May 1966,Tubize,Belgian Second Division,26 February 2012,"2 years, 120 days",KTQSM3,OVI5PNz,BLLsn
Eric Franken,,ASV Geel,Belgian Second Division,20 March 2012,"2 years, 98 days",DaXd1F,F4lMEdF,djDvg
John van den Brom,4 October 1966,Anderlecht,Belgian Pro League,30 May 2012,"2 years, 27 days",qhGfFC,nC0ij4,AnNqavJr
