Date,Result,Opponent,Event,Location,Method,Round,Time
2013-12-14,Loss,Mohamed Diaby,"Victory, Semi Finals","Paris, France",Decision,3,3:00
2013-03-09,,Juanma Chacon,Enfusion Live: Barcelona,"Barcelona, Spain",,,
2012-05-27,Loss,Murthel Groenhart,K-1 World MAX 2012 World Championship Tournament Final 16,"Madrid, Spain",KO (punches),3,3:00
2012-02-11,Win,Francesco Tadiello,Sporthal De Zandbergen,"Sint-Job-in-'t-Goor, Belgium",KO,1,
2012-01-28,Win,Chris Ngimbi,It's Showtime 2012 in Leeuwarden,"Leeuwarden, Netherlands",TKO (cut),2,1:22
2011-09-24,Loss,Andy Souwer,"BFN Group & Music Hall presents: It's Showtime \Fast & Furious 70MAX\"""," Quarter Finals""","Brussels, Belgium",Extra round decision (split),4
2011-04-09,Win,Lahcen Ait Oussakour,Le Grande KO XI,"Liege, Belgium",KO,1,
2011-03-19,Loss,Gino Bourne,Fight Night Turnhout,"Turnhout, Belgium",DQ,,
2011-02-12,Win,Henri van Opstal,War of the Ring,"Amsterdam, Netherlands",Decision (unanimous),3,3:00
2010-12-04,Win,Alessandro Campagna,Janus Fight Night 2010,"Padua, Italy",Decision,3,3:00
2010-09-10,Win,Edson Fortes,Ring Sensation Gala,"Utrecht, Netherlands",Decision,3,3:00
2010-03-21,Loss,Mohamed Khamal,"K-1 World MAX 2010 West Europe Tournament, Final","Utrecht, Netherlands",KO (punch),2,
2010-03-21,Win,Anthony Kane,"K-1 World MAX 2010 West Europe Tournament, Semi Finals","Utrecht, Netherlands",Decision,3,3:00
2010-03-21,Win,Bruno Carvalho,"K-1 World MAX 2010 West Europe Tournament, Quarter Finals","Utrecht, Netherlands",Decision,3,3:00
