Event,Bowling center,City,Dates,Winner,Unused_1,Unused_2
Fresno Open,Cedar Lanes,"Fresno, California",Jun 22–26,Les Schissler (4),,
Tucson Squirt Open,Cactus Bowl,"Tucson, Arizona",Jul 1–4,Johnny Guenther (2),,
Southern California Open,Encino Bowl,"Encino, California",Jul 7–10,Barry Asher (1),,
Fort Worth Open,Meadowbrook Lanes,"Fort Worth, Texas",Jul 14–17,Dick Ritger (1),,
Reading Open,Hiester Lanes,"Reading, Pennsylvania",Jul 28–31,Dick Ritger (2),,
U.S. Coast Guard Open,Starlite Lanes,"Grand Haven, Michigan",Aug 2–5,George Howard (4),,
Brockton Open,Westgate Lanes,"Brockton, Massachusetts",Aug 11–14,Bobby Jacks (2),,
Waukegan Open,Bertrand Bowl,"Waukegan, Illinois",Aug 18–21,Bobby Jacks (3),,
Fort Smith Open,Midland Bowl,"Fort Smith, Arkansas",Aug 25–28,Johnny Petraglia (1),,
Labor Day Classic,Hart Bowl,"Dallas, Texas",Sep 2–5,Bud Horn (1),,
Crescent City Open,Mardi Gras Bowl,"New Orleans, Louisiana",Sep 8–12,Barry Asher (2),,
Seventh Annual PBA National Championship,Garden City Bowl,"Garden City, New York",Nov 1–6,Wayne Zahn (6),,
Camden PBA Open,Camden Lanes,"Camden, New Jersey",Nov 9–12,Ralph Engan (1),,
Baltimore Open,Fair Lanes-Colt,"Baltimore, Maryland",Nov 17–20,Jim Stefanich (1),,
