Date,Name,Moving from,Moving to,Fee,Random_Column_1,Unused_2,Random_Column_3
7 July 2009,Ladji Keita,AEP Paphos,Vitória de Setúbal,Free,do32BawR,,EFVbU7et
7 July 2009,Lisandro López,Porto,Lyon,"€ 24,000,000",0YuCTX,,5T3j2
8 July 2009,Diogo Viana,Porto,VVV-Venlo,Loan,0rHAD,,eSBXDcV5
8 July 2009,Cristian Trombetta,Nueva Chicago,Leixões,Free,HNHrmG7o,,BXoQ0lk
8 July 2009,Cauê,Santo André,Leixões,Free,6pGNR,,ZK0NPG
8 July 2009,João Pedro,União de Leiria,Oliveirense,Free,EBN5HxW,,yB56h
10 July 2009,Filipe da Costa,Levski Sofia,Nacional,Free,C4VcMF,,HKMUz
10 July 2009,Paulão,Porto,Rio Ave,Free,4yGc9J,,mY5JO64
10 July 2009,Saulo,Belenenses,Celta Vigo,Free,lUZ5r,,ZNc6NptR
11 July 2009,Vukašin Dević,Red Star Belgrade,Belenenses,Free,YlMMsw,,SjQ7hHc8
11 July 2009,Vieirinha,Porto,PAOK,"€ 1,000,000",qpHNd,,9bQq94T9
12 July 2009,Alan,Comercial,Vitória de Setúbal,Free,vPo0WK,,OipwN
12 July 2009,Romeu Ribeiro,Benfica,Trofense,Loan,rxNJTne,,jEfO5xb
