Date,Name,Moving from,Moving to,Fee
13 July 2009,Fernando Ávalos,Belenenses,Nea Salamis,Free
13 July 2009,João Fajardo,Vitória de Guimarães,Panthrakikos,Free
14 July 2009,Vítor Vinha,Académica de Coimbra,Nea Salamis,Loan
14 July 2009,Daniel Candeias,Porto,Recreativo Huelva,Loan
14 July 2009,Ibson,Porto,Spartak Moscow,Undisclosed Fee
14 July 2009,Tininho,Belenenses,Steaua București,Free
14 July 2009,Saulo,Belenenses,Celta Vigo,Free
14 July 2013,Pedro Celestino,Sporting CP,Belenenses,Free
15 July 2009,Radamel Falcao,River Plate,Porto,"€ 3,930,000"
15 July 2009,Diego Valeri,Lanús,Porto,Undisclosed Fee
17 July 2009,Hélder Barbosa,Porto,Vitória de Setúbal,Loan
17 July 2009,Carlos Carneiro,Paços de Ferreira,Vizela,Free
18 July 2009,Wanderley,Cruzeiro,Marítimo,"€ 750,000"
