Name,Town,Deanery,Vicariate,Founded,Original Ethnic Community
St. Adalbert,Enfield,Enfield,Hartford,1915,Polish
St. Aedan,New Haven,New Haven,New Haven,1900,None
St. Agnes,Woodmont (Milford),West Shore Line,New Haven,1906,None
St. Aloysius,Plantsville (Southington),Meriden,New Haven,1961,None
St. Andrew,New Britain,New Britain,Hartford,1895,Lithuanian
St. Ann,Avon,Farmington Valley,Hartford,1917,None
St. Ann,Bristol,Bristol,Waterbury,1908,French
St. Ann,Hamden,Hamden-North Haven,New Haven,1919,Italian
St. Ann,Milford,West Shore Line,New Haven,1924,None
St. Ann,New Britain,New Britain,Hartford,1938,Italian
St. Anne,Waterbury,Waterbury,Waterbury,1886,French
St. Anne-Immaculate Conception,Hartford,Hartford,Hartford,2000,Multi-ethnic
St. Anthony,Ansonia,Ansonia-Derby,Waterbury,1915,Lithuanian
St. Anthony,Bristol,Bristol,Waterbury,1920,Italian
St. Anthony,New Haven,New Haven,New Haven,1904,Italian
St. Anthony,Prospect,Naugatuck-Cheshire,Waterbury,1943,None
St. Anthony of Padua,Litchfield,Litchfield,Waterbury,1882,None
Ascension,Hamden,Hamden-North Haven,New Haven,1964,None
Assumption,Ansonia,Ansonia-Derby,Waterbury,1870,None
Assumption,Manchester,Manchester,Hartford,1955,None
Church of the Assumption,Woodbridge,West Shore Line,New Haven,1924,None
St. Augustine,Hartford,Hartford,Hartford,1902,None
