Event,Record,Athlete,Date,Meet,Place
100 m,10.97,Mark Sherwin,4 December 1993,,"Brisbane, Australia"
100 m,10.6 (ht),Mark Sherwin,19 November 1993,,"Brisbane, Australia"
200 m,22.46 (+0.8 m/s),Teinakore Teiti,25 August 2000,Oceania Championships,"Adelaide, Australia"
400 m,51.40,John Hermann,4 December 1988,,"Sydney, Australia"
400 m,51.1 (ht),Harmon Harmon,3 June 1998,,"Nukuʻalofa, Tonga"
800 m,1:54.10,Alex Beddoes,5 June 2013,Oceania Championships,"Pirae, French Polynesia"
1000 m,3:20.05†,Harmon Harmon,15 December 2006,Oceania Championships,"Apia, Samoa"
1500 m,4:14.1 (ht),Rima Herman,12 March 1983,,"Hamilton, Australia"
Mile,5:07.1 (ht),Alan Jordon,1960,,
2000 m,6:23.3 (ht),Moetu Tangitamaita,3 May 1995,,"Tereora, Cook Islands"
3000 m,9:39.3 (ht),Muriaroa Ngaro,1979,,"Rarotonga, Cook Islands"
5000 m,16:41.7 (ht),Jubilee Reu,12 June 1971,,"Avarua, Cook Islands"
