Abbreviation,Settlement,District,Official Name,Division,Cup,Other information,Filler_1
TaaJä,Taalintehdas,Turku,Taalintehtaan Jäntevä,Vitonen,* *,,jiyYc
Tampere United,Tampere,Tampere,Tampere United,Veikkausliiga,* * *,,zWMBi
TamU-K,Tampere,Tampere,Tampere Unitedin kannattajat,Nelonen,* * *,,KocGkJYF
TaPa,Tampere,Tampere,Tampereen Palloilijat,Vitonen,*,,YArZAJ
TaPa 2,Tampere,Tampere,Tampereen Palloilijat / 2,Kutonen,*,,matig
Tarmo,"Kälviä, Kokkola",Keski-Pohjanmaa,Kälviän Tarmo,Kutonen,*,,PothqIp
Tavastia,Helsinki,Helsinki,FC Tavastia,Nelonen,*,,PgHBb
Tavastia/FC Mojo,Helsinki,Helsinki,FC Tavastia / FC Mojo,Kutonen,*,,WByrzftq
Team NIK,Nykarleby (Uusikaarlepyy),Keski-Pohjanmaa,Nykarleby Idrottsklubb,Vitonen,*,,SYcxz
Team Vanpa,Vantaa,Uusimaa,Team Vanpa,Vitonen,*,,qIglzPVK
Tervarit,Oulu,Pohjois-Suomi,Tervarit,Kolmonen,* *,,IKyupu
