Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004,Random_Column_1,Unused_2
78,Saraghrar,"7,349","24,111",Hindu Kush,36°32′51″N 72°06′54″E﻿ / ﻿36.54750°N 72.11500°E,"1,979",Noshaq,1959,2 (3),UAaxX,
79,Jomolhari,"7,326","24,035",Jomolhari Himalaya,27°49′36″N 89°16′04″E﻿ / ﻿27.82667°N 89.26778°E *,"2,077",Gangkhar Puensum,1937,4 (0),s48GITE,
80,Chamlang,"7,321","24,019",Mahalangur Himalaya,27°46′30″N 86°58′47″E﻿ / ﻿27.77500°N 86.97972°E,"1,240",Lhotse,1961,7 (1),k9DfSU,
81,Chongtar,"7,315","23,999",Baltoro Karakoram,35°54′55″N 76°25′45″E﻿ / ﻿35.91528°N 76.42917°E,"1,300",Skil Brum,1994,1 (1),6s3IKbGX,
82,Baltoro Kangri,"7,312","23,990",Masherbrum Karakoram,35°38′21″N 76°40′24″E﻿ / ﻿35.63917°N 76.67333°E,"1,200",Chogolisa,1976,1 (0),vC54fHYd,
83,Siguang Ri,"7,309","23,980",Mahalangur Himalaya,28°08′50″N 86°41′06″E﻿ / ﻿28.14722°N 86.68500°E,650,Cho Oyu,1989,2 (1),9dgF4,
84,The Crown/Huang Guan,"7,295","23,934",Yengisogat Karakoram,36°06′24″N 76°12′21″E﻿ / ﻿36.10667°N 76.20583°E,"1,919",Skil Brum (K2),1993,1 (3),ILGAS,
85,Gyala Peri,"7,294","23,930",Assam Himalaya,29°48′52″N 94°58′07″E﻿ / ﻿29.81444°N 94.96861°E,"2,942",Mount Everest,1986,1 (0),JeR876SY,
86,Porong Ri,"7,292","23,924",Langtang Himalaya,28°23′22″N 85°43′12″E﻿ / ﻿28.38944°N 85.72000°E,520,Shisha Pangma,1982,5 (0),0cbH1g,
87,Baintha Brakk/The Ogre,"7,285","23,901",Panmah Karakoram,35°56′51″N 75°45′12″E﻿ / ﻿35.94750°N 75.75333°E *,"1,891",Kanjut Sar,1977,3 (13),hcbPC,
88,Yutmaru Sar,"7,283","23,894",Hispar Karakoram,36°13′35″N 75°22′02″E﻿ / ﻿36.22639°N 75.36722°E,620,Yukshin Gardan Sar,1980,1 (1),ZN7uCuRd,
