Year,Player,High School,College,NBA/ABA draft
1992,Charles Macon,Michigan City Elston,Ohio State (1992–1994) / Central Michigan (1995–1997),
1993,"Maurice \Kojak\"" Fuller""",Anderson,Southern,
1994,Bryce Drew,Valparaiso,Valparaiso,"1998 NBA Draft: 1st Rnd, 16th overall by the Houston Rockets"
1995,Damon Frierson,Ben Davis,Miami (OH),
1996,Kevin Ault,Warsaw,Missouri State,
1997,Luke Recker,DeKalb,Indiana (1997–1999) / Iowa (2000–2002),
1998,Tom Coverdale,Noblesville,Indiana,
1999,Jason Gardner,Indianapolis North Central,Arizona,
2000,Jared Jeffries,Bloomington North,Indiana,"2002 NBA Draft: 1st Rnd, 11th overall by the Washington Wizards"
2001,Chris Thomas,Indianapolis Pike,Notre Dame,
2002,Sean May,Bloomington North,North Carolina,"2005 NBA Draft: 1st Rnd, 13th overall by the Charlotte Bobcats"
