Year,Winners,Score,Runners up,Notes,Filler_1,Extra_Data_2,Extra_Data_3
1946,Walsall Wood,7-2,Rugeley W.M.C.,,yDdmt,808,609
1947,Wellington Town Reserves,4-1,Walsall Wood,,NxPkRs,792,760
1948,Bilston Town,2-0,Halesowen,,totRCdJr,505,676
1949,Bilston Town,1-0,Oswestry Town,,xrPkfk,564,35
1950,Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown,Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown,Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown,Brereton Social drew 2-2 with Ogley Hay after extra time - winner of replay unknown,MhXSsTp,809,577
1951,Bloxwich Strollers,1-0,Walsall Wood,after extra time,FVKHvmqD,203,590
1952,Walsall Wood,1-0,Walsall Trinity,,yhEjm,895,643
1953,Walsall Wood,1-0,Ogley Hay,after extra time,excAeea,777,951
1954,Shelfield Athletic,1-0,Lower Gornal Athletic,,ONgRhtFk,128,37
1955,Shelfield Athletic,5-1,Walsall Trinity,,HdldVaRI,462,139
1956,Shelfield Athletic,2-0,Ogley Hay,,DfjgaX,619,891
