Pos,No,Rider,Bike,Laps,Time,Grid,Points,Irrelevant_1,Irrelevant_2
1,93,Marc Márquez,Derbi,22,40:46.315,1,25,ml0C4ue,DB7lcQ2
2,38,Bradley Smith,Aprilia,22,+4.638,3,20,FAm4I,hOsF9fc
3,44,Pol Espargaró,Derbi,22,+4.996,2,16,JdmThu,hdccRH
4,11,Sandro Cortese,Derbi,22,+45.366,5,13,JyzHX,4KRD7BtD
5,7,Efrén Vázquez,Derbi,22,+45.433,8,11,wDnmp5B,FVvSut
6,71,Tomoyoshi Koyama,Aprilia,22,+49.685,6,10,PkBWBF,sy0Q56
7,35,Randy Krummenacher,Aprilia,22,+49.735,14,9,67mAG8,fZioBFNk
8,14,Johann Zarco,Aprilia,22,+49.743,10,8,pXeka0,YOMkFG
9,94,Jonas Folger,Aprilia,22,+49.775,12,7,CB9qdhbF,gLHA5F
10,99,Danny Webb,Aprilia,22,+53.115,16,6,Ls8N3lwV,gevYmi
11,26,Adrián Martín,Aprilia,22,+58.669,19,5,Vy6sG,HdqqVFQ
