Date,Opponent,Result,Goal Scorers (Season Goals),Goalie Saves,Attendance,Extra_Data_1
Nov. 17,New Hampshire (2/3),"L, 2-1",Knight (5)-PP,"Vetter, 24","1,196",604
Nov. 18,New Hampshire (2/3),"L, 2-1",Sanders (8),"Vetter, 20","1,226",808
Nov. 23,BemIdji State*,"W, 7-0","Zaugg (7), Matthews (3)-PP, Knight (6)-PP, Zaugg (8)-PP, Lawler (4), Nash (3), Duggan (4)","Vetter, 13",121,266
Nov. 24,BemIdji State*,"T, 0-0",None,"McCready, 14",125,594
Nov. 30,MINNESOTA DULUTH* (3/3),"L, 3-1",Hanson (1) Kohl Center,"Vetter, 19","1,342",121
Dec. 1,MINNESOTA DULUTH* (3/3),"L, 3-2 (OT)","Lawler (5)-PP, Duggan (5)-PP","Vetter, 22","1,638",842
Dec. 8,North Dakota*,"W, 3-2","Knight (7), Giles (3), Lawler (6)","Vetter, 12",425,777
Dec. 9,North Dakota*,"W, 4-0","Knight (8), Nash (4), Deluce (9), Lawler (7)","Vetter, 5",221,422
Jan. 4,MINNESOTA State*,"W, 4-1","Kranz (2), Kranz (3), Sanders (9)-PP, Lawler (8)","Vetter, 17",304,189
Jan. 5,MINNESOTA State*,"W, 3-1","Keseley (6), Lawler (9)-PP, Knight (9)","Vetter, 20",225,557
Jan. 18,OHIO State*,"W, 3-2","Duggan (6), Zaugg (9), Duggan (7)-PP","Vetter, 25",231,727
