Year,Winner,Second,Third,Starters,Noise_Field_1,Random_Column_2
1993,Brocco,Blumin Affair,Tabasco Cat,11,UnMiVDyK,CoxNN6
1992,Gilded Time,It'sali'lknownfact,River Special,13,DfLvKqs,vf0zV
1991,Arazi,Bertrando,Snappy Landing,14,DKlXe,KlNeRp
1990,Fly So Free,Take Me Out,Lost Mountain,11,nfFXVTp,wx8y6d
1989,Rhythm,Grand Canyon,Slavic,12,INTbTDbi,NGUx9j2
1988,Is It True,Easy Goer,Tagel,10,thZpihwE,a4sSb
1987,Success Express,Regal Classic,Tejano,13,uWUIXznu,u9S07p6W
1986,Capote,Qualify,Alysheba,13,SIanL,SJh5g
1985,Tasso,Storm Cat,Scat Dancer,13,oJPmck,dLilo
1984,Chief's Crown,Tank's Prospect,Spend A Buck,10,pcnFrzMD,iXdqTA
